aol,TCP,5190
bgp,TCP,179
biff,UDP,512
bootpc,UDP,68
bootps,UDP,67
chargen,TCP,19
citrix-ica,TCP,1494
cmd,TCP,514
ctiqbe,TCP,2748
daytime,TCP,13
discard,TCP;UDP,9
domain,TCP;UDP,53
dnsix,UDP,195
echo,TCP;UDP,7
exec,TCP,512
finger,TCP,79
ftp,TCP,21
ftp-data,TCP,20
gopher,TCP,70
https,TCP,443
h323,TCP,1720
hostname,TCP,101
ident,TCP,113
imap4,TCP,143
irc,TCP,194
isakmp,UDP,500
kerberos,TCP;UDP,750
klogin,TCP,543
kshell,TCP,544
ldap,TCP,389
ldaps,TCP,636
lpd,TCP,515
login,TCP,513
lotusnotes,TCP,1352
mobile-ip,UDP,434
nameserver,UDP,42
netbios-ns,UDP,137
netbios-dgm,UDP,138
netbios-ssn,TCP,139
nntp,TCP,119
ntp,UDP,123
pcanywhere-status,UDP,5632
pcanywhere-data,TCP,5631
pim-auto-rp,TCP;UDP,496
pop2,TCP,109
pop3,TCP,110
pptp,TCP,1723
radius,UDP,1645
radius-acct,UDP,1646
rip,UDP,520
secureid-udp,UDP,5510
smtp,TCP,25
snmp,UDP,161
snmptrap,UDP,162
sqlnet,TCP,1521
ssh,TCP,22
sunrpc,TCP;UDP,111
rpc,TCP;UDP,111
syslog,UDP,514
tacacs,TCP;UDP,49
talk,TCP;UDP,517
telnet,TCP,23
tftp,UDP,69
time,UDP,37
uucp,TCP,540
who,UDP,513
whois,TCP,43
www,TCP,80
xdmcp,UDP,177
rsh,TCP,514
